,question,Actual Abstract,Predicted Abstract,Answer
320,"When did Brendan Aloysius Lyons, an  Australian politician who served in the Tasmanian House of Assembly from 1982 to 1986 die? ","Brendan Aloysius Lyons (17 June 1927 – 7 September 2010) was an  Australian politician who served in the Tasmanian House of Assembly from 1982 to 1986, representing the Liberal Party.","Brendan Aloysius Lyons (17 June 1927 – 7 September 2010) was an  Australian politician who served in the Tasmanian House of Assembly from 1982 to 1986, representing the Liberal Party.",7 September 2010
321,"When was Samuel John Everett Loxton, an Australian cricketer, footballer and politician born?","Samuel John Everett Loxton, OBE (29 March 1921 – 3 December 2011) was an Australian cricketer, footballer and politician.","Samuel John Everett Loxton, OBE (29 March 1921 – 3 December 2011) was an Australian cricketer, footballer and politician.",29 March 1921
322,Name an Australian politician who served as the Liberal member for Lalor from 1966 to 1969?,Mervyn William Lee (18 August 1920 – 13 December 2009) was an Australian politician who served as the Liberal member for Lalor from 1966 to 1969.,Mervyn William Lee (18 August 1920 – 13 December 2009) was an Australian politician who served as the Liberal member for Lalor from 1966 to 1969.,Mervyn William Lee
323,"Name an Australian former professional rugby league footballer, and a former Australian Senator?","Glenn Patrick Lazarus (born 11 December 1965) is an Australian former professional rugby league footballer, and a former Australian Senator.","Glenn Patrick Lazarus (born 11 December 1965) is an Australian former professional rugby league footballer, and a former Australian Senator.",Glenn Patrick Lazarus
324,"Name an Australian lawyer, politician, and judge who served as the fifth Chief Justice of Australia?","Sir John Greig Latham GCMG QC (26 August 1877 – 25 July 1964) was an Australian lawyer, politician, and judge who served as the fifth Chief Justice of Australia, in office from 1935 to 1952.","Sir John Greig Latham GCMG QC (26 August 1877 – 25 July 1964) was an Australian lawyer, politician, and judge who served as the fifth Chief Justice of Australia, in office from 1935 to 1952.",Sir John Greig Latham
325,"Who is Gilbert Roche Andrews ""Gil"" Langley?","Gilbert Roche Andrews ""Gil"" Langley  (14 September 1919 – 14 May 2001) was an Australian Test cricketer, champion Australian rules footballer and member of parliament, serving as Speaker of the South Australian House of Assembly from 1977 to 1979 for the Don Dunstan Labor government.","His father and his uncle, Gilbert, founded the chocolate-making company in 1873.",His father and his uncle
326,When did Roy Mitchell Kinnear die?,Roy Mitchell Kinnear (8 January 1934 – 20 September 1988) was a British character actor.,Roy Mitchell Kinnear (8 January 1934 – 20 September 1988) was a British character actor.,20 September 1988
327,Name an Australian politician who served as a Senator for Western Australia from 1923 to 1935?,Sir Walter Kingsmill (10 April 1864 – 15 January 1935) was an Australian politician who served as a Senator for Western Australia from 1923 to 1935.,Sir Walter Kingsmill (10 April 1864 – 15 January 1935) was an Australian politician who served as a Senator for Western Australia from 1923 to 1935.,Sir Walter Kingsmill
328,"Who was Sir Wilfrid Selwyn ""Bill"" Kent Hughes?","Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government.","Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government.",an Australian army officer and politician
329,"What was William Frederick Percy Hutton, an Australian cricketer who played a single first-class match for South Australia known as?","William Frederick Percy Hutton (2 October 1876 – 1 October 1951), known as Percy Hutton, was an Australian cricketer who played a single first-class match for South Australia during the 1905–06 Sheffield Shield season.","William Frederick Percy Hutton (2 October 1876 – 1 October 1951), known as Percy Hutton, was an Australian cricketer who played a single first-class match for South Australia during the 1905–06 Sheffield Shield season.",Percy Hutton
330,"Name an Australian politician, psychologist and vegan bodybuilder?","Emma Christine Hurst (born 1981) is an Australian politician, psychologist and vegan bodybuilder.","Emma Christine Hurst (born 1981) is an Australian politician, psychologist and vegan bodybuilder.",Emma Christine Hurst
331,Name a former Australian politician who represented the seat of Toowoomba South in the Legislative Assembly of Queensland?,"Michael James Horan, AM (born 1 July 1944) is a former Australian politician who represented the seat of Toowoomba South in the Legislative Assembly of Queensland from 18 May 1991 to 24 March 2012.","Michael James Horan, AM (born 1 July 1944) is a former Australian politician who represented the seat of Toowoomba South in the Legislative Assembly of Queensland from 18 May 1991 to 24 March 2012.",Michael James Horan
332,"Name the thirtieth Premier of South Australia, representing the South Australian Branch of the Australian Labor Party?","Lionel Laughton Hill (14 May 1881 – 19 March 1963) was the thirtieth Premier of South Australia, representing the South Australian Branch of the Australian Labor Party.","Lionel Laughton Hill (14 May 1881 – 19 March 1963) was the thirtieth Premier of South Australia, representing the South Australian Branch of the Australian Labor Party.",Lionel Laughton Hill
333,Name an Australian politician who was a Labor Party member of the Legislative Assembly of Western Australia from 1930 to 1947?,James Hegney (27 September 1891 – 5 May 1970) was an Australian politician who was a Labor Party member of the Legislative Assembly of Western Australia from 1930 to 1947 and again from 1950 to 1968.,James Hegney (27 September 1891 – 5 May 1970) was an Australian politician who was a Labor Party member of the Legislative Assembly of Western Australia from 1930 to 1947 and again from 1950 to 1968.,James Hegney
334,"When was John Merrifield Hearman CMG, an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia born?","John Merrifield Hearman CMG (10 November 1910 – 20 February 1994) was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968, representing the seat of Blackwood.","John Merrifield Hearman CMG (10 November 1910 – 20 February 1994) was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968, representing the seat of Blackwood.",1950
335,Name an Australian rules footballer who played for Melbourne in the Victorian Football League?,"Stan ""Pops"" Heal (30 July 1920 – 15 December 2010) was an Australian rules footballer who played for Melbourne in the Victorian Football League (VFL) as well as West Perth in the West Australian National Football League (WANFL) during the 1940s and early 1950s.",Kevin Philip Hardiman (24 July 1915 – 2 August 2002) was an Australian rules footballer who played for Essendon in the Victorian Football League (VFL).,Kevin Philip Hardiman
336,Name an Australian rules footballer who played for Essendon in the Victorian Football League (VFL)?,Kevin Philip Hardiman (24 July 1915 – 2 August 2002) was an Australian rules footballer who played for Essendon in the Victorian Football League (VFL).,Kevin Philip Hardiman (24 July 1915 – 2 August 2002) was an Australian rules footballer who played for Essendon in the Victorian Football League (VFL).,Kevin Philip Hardiman
337,"Who is Herbert Harry ""Jim"" Handby OBE?","Herbert Harry ""Jim"" Handby OBE (1 September 1903 – 2 October 1991) was an Australian rules footballer who played in the South Australian National Football League (SANFL) in the 1920s and 1930s, achieving several honours in recognition of his playing skills.","Born Herbert Harry Handby in Adelaide, South Australia, Handby was invariably referred to simply as 'Jim'.","Born Herbert Harry Handby in Adelaide, South Australia"
338,Name an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908?,"Arthur Courthope Gull (1 January 1867 – 30 March 1951) was an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908, representing the seat of Swan.","Arthur Courthope Gull (1 January 1867 – 30 March 1951) was an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908, representing the seat of Swan.",Arthur Courthope Gull
339,"Name an Australian lawyer and former sportsman and politician, representing the Liberal Party in the Federal Parliament?","Raymond John Groom  (born 3 September 1944) is an Australian lawyer and former sportsman and politician, representing the Liberal Party in the Federal Parliament 1975–84 and the Tasmanian Parliament 1986–2001.","Raymond John Groom  (born 3 September 1944) is an Australian lawyer and former sportsman and politician, representing the Liberal Party in the Federal Parliament 1975–84 and the Tasmanian Parliament 1986–2001.",Raymond John Groom
340,Name a former professional tennis player who was a grass court specialist?,"Bob Gary Giltinan OAM (born 4 July 1949 in Sydney, New South Wales, Australia) is a former professional tennis player who was a grass court specialist.","Bob Gary Giltinan OAM (born 4 July 1949 in Sydney, New South Wales, Australia) is a former professional tennis player who was a grass court specialist.",Bob Gary Giltinan OAM
341,When was John Hogan 'Jack' Gervasoni born?,John Hogan 'Jack' Gervasoni  (29 September 1929 – 9 February 1992) was an Australian rules footballer who played for Fitzroy in the Victorian Football League (VFL) and captain-coached Northcote in the Victorian Football Association (VFA).,John Hogan 'Jack' Gervasoni  (29 September 1929 – 9 February 1992) was an Australian rules footballer who played for Fitzroy in the Victorian Football League (VFL) and captain-coached Northcote in the Victorian Football Association (VFA).,29 September 1929
342,"When did Albert ""Jupp"" Gardiner die?","Albert ""Jupp"" Gardiner (30 July 1867 – 14 August 1952) was an Australian politician who served as a Senator for New South Wales from 1910 to 1926 and again briefly in 1928.","Albert ""Jupp"" Gardiner (30 July 1867 – 14 August 1952) was an Australian politician who served as a Senator for New South Wales from 1910 to 1926 and again briefly in 1928.",14 August 1952
343,Who is John William 'Jack' Galbally?,"John William 'Jack' Galbally, , (2 August 1910 – 8 July 1990) was a Labor Party politician.","John William 'Jack' Galbally, , (2 August 1910 – 8 July 1990) was a Labor Party politician.",a Labor Party politician
344,Name an Australian freestyle champion swimmer and former politician?,"Dawn Fraser,  (born 4 September 1937) is an Australian freestyle champion swimmer and former politician.","Dawn Fraser,  (born 4 September 1937) is an Australian freestyle champion swimmer and former politician.",Dawn Fraser
345,"Name a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman?","Alexander Fraser Tytler, Lord Woodhouselee FRSE (15 October 1747 – 5 January 1813) was a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman Antiquities at the University of Edinburgh.","Alexander Fraser Tytler, Lord Woodhouselee FRSE (15 October 1747 – 5 January 1813) was a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman Antiquities at the University of Edinburgh.",Alexander Fraser Tytler
346,"Name an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq?","Thomas William ""Tom"" Fox (July 7, 1951 – March 9, 2006) was an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq.","Thomas William ""Tom"" Fox (July 7, 1951 – March 9, 2006) was an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq.","Thomas William ""Tom"" Fox"
347,"When was Patrick Francis Daniel Farmer, an ultra-marathon athlete, motivational speaker, and former Australian politician born?","Patrick Francis Daniel Farmer  (born 14 March 1962), an ultra-marathon athlete, motivational speaker, and former Australian politician, was a Member of the Australian House of Representatives, representing the seat of Macarthur in south-west Sydney, New South Wales from 2001 to 2010, as a member of the Liberal Party.","Patrick Francis Daniel Farmer  (born 14 March 1962), an ultra-marathon athlete, motivational speaker, and former Australian politician, was a Member of the Australian House of Representatives, representing the seat of Macarthur in south-west Sydney, New South Wales from 2001 to 2010, as a member of the Liberal Party.",14 March 1962
348,"Name a Norfolk Island businessman, actor and local government politician?","Hadyn Paul ""Teddy"" Evans (born 15 October 1962) is a Norfolk Island businessman, actor and local government politician.","Hadyn Paul ""Teddy"" Evans (born 15 October 1962) is a Norfolk Island businessman, actor and local government politician.","Hadyn Paul ""Teddy"" Evans"
349,Who is Alistair Martin Edwards?,Alistair Martin Edwards (born 21 June 1968) is a former football (soccer) player and coach.,Alistair Martin Edwards (born 21 June 1968) is a former football (soccer) player and coach.,a former football (soccer) player and coach
350,When was cricketer Charles John Eady born?,Charles John Eady (29 October 1870 – 20 December 1945) was a cricketer who played for Tasmanian clubs and representative sides in the era before Tasmania was accepted into the Sheffield Shield and other competitions.,Charles John Eady (29 October 1870 – 20 December 1945) was a cricketer who played for Tasmanian clubs and representative sides in the era before Tasmania was accepted into the Sheffield Shield and other competitions.,29 October 1870
351,Who is Henry Rowland Gascoigne Dumaresq?,Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.,Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.,an Australian politician
352,Name an Australian politician who has represented Murray and Nicholls in the Australian House of Representatives?,Damian Kevin Drum (born 28 July 1960) is an Australian politician who has represented Murray and Nicholls in the Australian House of Representatives since the 2016 federal election as a member of The Nationals.,Damian Kevin Drum (born 28 July 1960) is an Australian politician who has represented Murray and Nicholls in the Australian House of Representatives since the 2016 federal election as a member of The Nationals.,Damian Kevin Drum
353,Name an Australian rules footballer and coach in the West Australian Football League (WAFL)?,"John ""Jerry"" Dolan (25 December 1901 – 26 December 1986) was an Australian rules footballer and coach in the West Australian Football League (WAFL) before becoming a politician.","John ""Jerry"" Dolan (25 December 1901 – 26 December 1986) was an Australian rules footballer and coach in the West Australian Football League (WAFL) before becoming a politician.","John ""Jerry"" Dolan"
354,Who is Richard Luigi Di Natale?,Richard Luigi Di Natale (born 6 June 1970) is an Australian politician who serves as a senator for Victoria.,Richard Luigi Di Natale (born 6 June 1970) is an Australian politician who serves as a senator for Victoria.,an Australian politician
355,"When was Hugh Francis Delahunty, an Australian politician born?",Hugh Francis Delahunty (born 28 June 1949) is an Australian politician.,Hugh Francis Delahunty (born 28 June 1949) is an Australian politician.,28 June 1949
356,"Who is Ronald William ""Ron"" Clarke?","Ronald William ""Ron"" Clarke, AO, MBE (21 February 1937 – 17 June 2015) was an Australian athlete, writer, and Mayor of the Gold Coast from 2004 to 2012.","Ronald William ""Ron"" Clarke, AO, MBE (21 February 1937 – 17 June 2015) was an Australian athlete, writer, and Mayor of the Gold Coast from 2004 to 2012.","an Australian athlete, writer, and Mayor of the Gold Coast"
357,Name an Australian politician who was the inaugural leader of the Australian Democrats?,"Donald Leslie Chipp, AO (21 August 1925 – 28 August 2006) was an Australian politician who was the inaugural leader of the Australian Democrats, leading the party from 1977 to 1986.","Donald Leslie Chipp, AO (21 August 1925 – 28 August 2006) was an Australian politician who was the inaugural leader of the Australian Democrats, leading the party from 1977 to 1986.",Donald Leslie Chipp
358,Name an Australian former professional boxer and former member of the New South Wales Legislative Assembly?,Stephen Rhett Cansdell (born 23 September 1950 in Dubbo) is an Australian former professional boxer and former member of the New South Wales Legislative Assembly.,Stephen Rhett Cansdell (born 23 September 1950 in Dubbo) is an Australian former professional boxer and former member of the New South Wales Legislative Assembly.,Stephen Rhett Cansdell
359,Name an Australian politician; a five-time national champion and Australian representative rower?,Shane Thomas Broad (born 21 August 1974) is an Australian politician; a five-time national champion and Australian representative rower; and an agricultural scientist.,Shane Thomas Broad (born 21 August 1974) is an Australian politician; a five-time national champion and Australian representative rower; and an agricultural scientist.,Shane Thomas Broad
360,Who is Cory Bernardi?,Cory Bernardi (born 6 November 1969) is a former Australian politician.,Cory Bernardi (born 6 November 1969) is a former Australian politician.,a former Australian politician
361,When was Anthony John Benneworth born?,Anthony John Benneworth (12 December 1950 – 10 March 2018) was an Australian cricketer who played for Tasmania from 1971 until 1979.,Anthony John Benneworth (12 December 1950 – 10 March 2018) was an Australian cricketer who played for Tasmania from 1971 until 1979.,12 December 1950
362,"Who is Sir Francis ""Frank"" Joseph Edmund Beaurepaire?","Sir Francis ""Frank"" Joseph Edmund Beaurepaire (13 May 1891 – 29 May 1956) was an Australian distance freestyle swimmer from the 1900s to the 1920s, who won three silver and three bronze medals, from the 1908 Summer Olympics in London to the 1924 Summer Olympics in Paris, setting 15 world records.","Since 1969 He has worked in family business Francis Chichester Ltd (publishers of maps, guides and educational wallcharts), founded by his father Sir Francis Chichester KBE, and still lives in the family home at 9 St James's Place, London SW1.",his father
363,When did Sir Henry Newman Barwell KCMG die?,Sir Henry Newman Barwell KCMG (26 February 1877 – 30 September 1959) was the 28th Premier of South Australia.,Sir Henry Newman Barwell KCMG (26 February 1877 – 30 September 1959) was the 28th Premier of South Australia.,30 September 1959
364,Name an Australian politician who served in both houses of the Parliament of Western Australia? ,Edward Houghton Angelo (29 July 1870 – 1 October 1948) was an Australian politician who served in both houses of the Parliament of Western Australia.,Edward Houghton Angelo (29 July 1870 – 1 October 1948) was an Australian politician who served in both houses of the Parliament of Western Australia.,Edward Houghton Angelo
365,"Name Canada's first chess grandmaster, an eight-time Canadian Chess Champion?","Daniel Abraham Yanofsky,  (March 25, 1925 – March 5, 2000) was Canada's first chess grandmaster, an eight-time Canadian Chess Champion, a chess writer, chess arbiter, and lawyer.","Daniel Abraham Yanofsky,  (March 25, 1925 – March 5, 2000) was Canada's first chess grandmaster, an eight-time Canadian Chess Champion, a chess writer, chess arbiter, and lawyer.",Daniel Abraham Yanofsky
366,Who is Peter Wong Tung-shun?,"Peter Wong Tung-shun, JP (Chinese: 王冬勝 born 1951, Hong Kong) is a Group General Manager of HSBC, serving as Deputy Chairman and Chief Executive of The Hongkong and Shanghai Banking Corporation Limited, Asia-Pacific.",His brother Peter also played in the NHL.,His brother
367,Name a Canadian scientist and politician representing the riding of Oak Bay-Gordon Head in the British Columbia Legislative Assembly?,Andrew John Weaver  is a Canadian scientist and politician representing the riding of Oak Bay-Gordon Head in the British Columbia Legislative Assembly.,Andrew John Weaver  is a Canadian scientist and politician representing the riding of Oak Bay-Gordon Head in the British Columbia Legislative Assembly.,Andrew John Weaver
368,"When was Nicholas Joseph Vinnicombe, a merchant and politician in Newfoundland born?","Nicholas Joseph Vinnicombe (January 14, 1877 – April 10, 1928) was a merchant and politician in Newfoundland.","Nicholas Joseph Vinnicombe (January 14, 1877 – April 10, 1928) was a merchant and politician in Newfoundland.","January 14, 1877"
369,Who is Cory E. Vanthuyne?,"Cory E. Vanthuyne is a Canadian politician, who was elected to the Legislative Assembly of the Northwest Territories in the 2015 election.","Cory E. Vanthuyne is a Canadian politician, who was elected to the Legislative Assembly of the Northwest Territories in the 2015 election.",a Canadian politician
370,When was John Napier Wyndham Turner born?,"John Napier Wyndham Turner  (born June 7, 1929) is a Canadian lawyer and politician who served as the 17th prime minister of Canada from June 30 to September 17, 1984.","John Napier Wyndham Turner  (born June 7, 1929) is a Canadian lawyer and politician who served as the 17th prime minister of Canada from June 30 to September 17, 1984.","June 7, 1929"
371,Who is Joseph Philippe Pierre Yves Elliott Trudeau?,"Joseph Philippe Pierre Yves Elliott Trudeau  ( TROO-doh, troo-DOH, French: [pjɛʁ tʁydo]; October 18, 1919 – September 28, 2000), mostly referred to as simply Pierre Trudeau, or by the initials PET, was a Canadian politician who was the 15th prime minister of Canada and leader of the Liberal Party of Canada, between 1968 and 1984, with a brief period as Leader of the Opposition, from 1979 to 1980.","Joseph Philippe Pierre Yves Elliott Trudeau  ( TROO-doh, troo-DOH, French: [pjɛʁ tʁydo]; October 18, 1919 – September 28, 2000), mostly referred to as simply Pierre Trudeau, or by the initials PET, was a Canadian politician who was the 15th prime minister of Canada and leader of the Liberal Party of Canada, between 1968 and 1984, with a brief period as Leader of the Opposition, from 1979 to 1980.",a Canadian politician who was the 15th prime minister of Canada
372,"Name a commercial fisherman, trapper and political figure in Saskatchewan?","Frederick John Thompson (May 21, 1935 – July 7, 2010) was a commercial fisherman, trapper and political figure in Saskatchewan.","Frederick John Thompson (May 21, 1935 – July 7, 2010) was a commercial fisherman, trapper and political figure in Saskatchewan.",Frederick John Thompson
373,"When did Frederick Wellington ""Cyclone"" Taylor, a Canadian professional ice hockey player and civil servant die?","Frederick Wellington ""Cyclone"" Taylor, MBE (June 23, 1884 – June 9, 1979) was a Canadian professional ice hockey player and civil servant.","Frederick Wellington ""Cyclone"" Taylor, MBE (June 23, 1884 – June 9, 1979) was a Canadian professional ice hockey player and civil servant.","June 9, 1979"
374,"Who is Chris ""Canuck Truck"" Szarka?","Chris ""Canuck Truck"" Szarka (born February 12, 1975 in Vancouver, British Columbia) is a former Canadian Football League fullback.","Chris ""Canuck Truck"" Szarka (born February 12, 1975 in Vancouver, British Columbia) is a former Canadian Football League fullback.",a former Canadian Football League fullback
375,"When  was Joseph ""Joe"" Albert Taylor Sullivan born?","Joseph ""Joe"" Albert Taylor Sullivan (January 8, 1901 – September 30, 1988) was a Canadian Olympic ice hockey player, physician, surgeon, and politician.","Joseph ""Joe"" Albert Taylor Sullivan (January 8, 1901 – September 30, 1988) was a Canadian Olympic ice hockey player, physician, surgeon, and politician.","January 8, 1901"
376,"Name a Canadian police officer, politician, football player, professor, and Citizenship Judge?","George Philip Gregory Springate  (May 12, 1938 – November 20, 2019) was a Canadian police officer, politician, football player, professor, and Citizenship Judge.","George Philip Gregory Springate  (May 12, 1938 – November 20, 2019) was a Canadian police officer, politician, football player, professor, and Citizenship Judge.",George Philip Gregory Springate
377,"Name an American author and editor, and publisher of Smith Magazine?","Larry Smith (born September 17, 1968) is an American author and editor, and publisher of Smith Magazine.","Larry Smith (born September 17, 1968) is an American author and editor, and publisher of Smith Magazine.",Larry Smith
378,Who is Robert Underdunk Terwilliger Jr?,"Robert Underdunk Terwilliger Jr., PhD, better known as Sideshow Bob, is a recurring character in the animated television series The Simpsons.",Robert B. Jaworski Jr. is a Filipino politician and former basketball player.,a Filipino politician and former basketball player
379,"When was Frederick ""Chief Running Deer"" Sasakamoose born?","Frederick ""Chief Running Deer"" Sasakamoose,  (born December 25, 1933) is a former Canadian professional ice hockey player.","Frederick ""Chief Running Deer"" Sasakamoose,  (born December 25, 1933) is a former Canadian professional ice hockey player.","December 25, 1933"
380,"Who is Samuel ""Sam"" Rothschild?","Samuel ""Sam"" Rothschild (October 16, 1899 – April 15, 1987) was a Canadian professional ice hockey player who played 102 games in the National Hockey League (NHL).","Samuel ""Sam"" Rothschild (October 16, 1899 – April 15, 1987) was a Canadian professional ice hockey player who played 102 games in the National Hockey League (NHL).",a Canadian professional ice hockey player
381,Name an Australian human rights lawyer and barrister with Doughty Street Chambers in London?,Jennifer Robinson (born 1981) is an Australian human rights lawyer and barrister with Doughty Street Chambers in London.,Jennifer Robinson (born 1981) is an Australian human rights lawyer and barrister with Doughty Street Chambers in London.,Jennifer Robinson
382,"Who is Charles Gavan ""Chubby"" Power?","Charles Gavan ""Chubby"" Power,  (18 January 1888 – 30 May 1968) was a Canadian politician and ice hockey player.","Charles Gavan ""Chubby"" Power,  (18 January 1888 – 30 May 1968) was a Canadian politician and ice hockey player.",a Canadian politician and ice hockey player
383,"What was Steven Patrick Morrissey, an English singer, songwriter, and author known mononymously as?","Steven Patrick Morrissey (; born 22 May 1959), known mononymously as Morrissey, is an English singer, songwriter, and author.","Steven Patrick Morrissey (; born 22 May 1959), known mononymously as Morrissey, is an English singer, songwriter, and author.",Morrissey
384,Name a former professional Canadian football placekicker and punter for the Ottawa Rough Riders of the Canadian Football League?,"Gerry Organ (born December 4, 1944) is a former professional Canadian football placekicker and punter for the Ottawa Rough Riders of the Canadian Football League.","Gerry Organ (born December 4, 1944) is a former professional Canadian football placekicker and punter for the Ottawa Rough Riders of the Canadian Football League.",Gerry Organ
385,"When did Cynthia Maria ""Cindy"" Nicholas, a long distance swimmer and a politician in Ontario, Canada die?","Cynthia Maria ""Cindy"" Nicholas,  (August 20, 1957 – May 19, 2016) was a long distance swimmer and a politician in Ontario, Canada.","Cynthia Maria ""Cindy"" Nicholas,  (August 20, 1957 – May 19, 2016) was a long distance swimmer and a politician in Ontario, Canada.","May 19, 2016"
386,"Who is Wilfred Kennedy ""Bucko"" McDonald?","Wilfred Kennedy ""Bucko"" McDonald (October 31, 1911 – July 19, 1991) was a Canadian professional hockey and lacrosse player, coach, and politician.","Wilfred Kennedy ""Bucko"" McDonald (October 31, 1911 – July 19, 1991) was a Canadian professional hockey and lacrosse player, coach, and politician.","a Canadian professional hockey and lacrosse player, coach, and politician"
387,"Who is Maurice William ""Moe"" Mantha?","Maurice William ""Moe"" Mantha (December 13, 1933 – September 18, 2015) was a Canadian ice hockey player and a politician.","Maurice William ""Moe"" Mantha (December 13, 1933 – September 18, 2015) was a Canadian ice hockey player and a politician.",a Canadian ice hockey player and a politician
388,"When was Douglas Roy ""Doug"" Livingston born?","Douglas Roy ""Doug"" Livingston (born April 15, 1954) is an educator and former political figure in the Yukon, Canada.","Douglas Roy ""Doug"" Livingston (born April 15, 1954) is an educator and former political figure in the Yukon, Canada.","April 15, 1954"
389,Name a former territorial level politician and Member of the Legislative Assembly of the Northwest territories?,"Fred Koe (born March 8, 1947) is a former territorial level politician and Member of the Legislative Assembly of the Northwest territories from 1991 to 1995.","Fred Koe (born March 8, 1947) is a former territorial level politician and Member of the Legislative Assembly of the Northwest territories from 1991 to 1995.",Fred Koe
390,"Name a Canadian Inuit lawyer, politician, and former sportsman?","Kiviaq (also known as David Charles Ward; January 23, 1936 – April 24, 2016) was a Canadian Inuit lawyer, politician, and former sportsman.","Kiviaq (also known as David Charles Ward; January 23, 1936 – April 24, 2016) was a Canadian Inuit lawyer, politician, and former sportsman.",Kiviaq
391,"When did Leonard Patrick ""Red"" Kelly, a Canadian professional ice hockey player and coach die?","Leonard Patrick ""Red"" Kelly  (July 9, 1927 – May 2, 2019) was a Canadian professional ice hockey player and coach.","Leonard Patrick ""Red"" Kelly  (July 9, 1927 – May 2, 2019) was a Canadian professional ice hockey player and coach.","May 2, 2019"
392,"Who is Gregory Andrew ""Greg"" Joy?","Gregory Andrew ""Greg"" Joy (born April 23, 1956) is an American-born Canadian high jumper who stood 6' 4"" tall and weighed 157 lbs while competing from 1973 to 1982 for Canada.","Gregory Andrew ""Greg"" Joy (born April 23, 1956) is an American-born Canadian high jumper who stood 6' 4"" tall and weighed 157 lbs while competing from 1973 to 1982 for Canada.",an American-born Canadian high jumper
393,"When was Roderick George McLean ""The Arrow"" Hunter, a Canadian curler and politician born?","Roderick George McLean ""The Arrow"" Hunter (August 24, 1943 – January 6, 2018) was a Canadian curler and politician.","Roderick George McLean ""The Arrow"" Hunter (August 24, 1943 – January 6, 2018) was a Canadian curler and politician.","August 24, 1943"
394,"Who is Michael Patrick ""Mickey"" Hennessy?","Michael Patrick ""Mickey"" Hennessy (August 8, 1915 — March 5, 1991) was a boxer and politician in Ontario, Canada.","Michael Patrick ""Mickey"" Hennessy (August 8, 1915 — March 5, 1991) was a boxer and politician in Ontario, Canada.",a boxer
395,"When was Enrico Pasquale Ciccone, a Canadian former professional ice hockey defenceman born?","Enrico Pasquale Ciccone (born April 10, 1970) is a Canadian former professional ice hockey defenceman who played in the National Hockey League (NHL).","Enrico Pasquale Ciccone (born April 10, 1970) is a Canadian former professional ice hockey defenceman who played in the National Hockey League (NHL).","April 10, 1970"
396,"Who is Harold Peter ""Herb"" Capozzi?","Harold Peter ""Herb"" Capozzi (April 24, 1925 – November 21, 2011) was an athlete, businessman, professional sports team manager and political figure in British Columbia.","Harold Peter ""Herb"" Capozzi (April 24, 1925 – November 21, 2011) was an athlete, businessman, professional sports team manager and political figure in British Columbia.","an athlete, businessman, professional sports team manager and political figure in British Columbia"
397,"What was Charles Griffith Wynne,  Liberal Tory politician and a Member of Parliament for Caernarfon later known as?","Charles Griffith Wynne (14 August 1815 – 3 March 1874), later known as Charles Wynne-Finch, was a Liberal Tory politician and a Member of Parliament for Caernarfon.","Charles Griffith Wynne (14 August 1815 – 3 March 1874), later known as Charles Wynne-Finch, was a Liberal Tory politician and a Member of Parliament for Caernarfon.",Charles Wynne-Finch
398,Name an English Christian worship leader and writer of hymns and contemporary worship music?,Stuart Townend (born 1963) is an English Christian worship leader and writer of hymns and contemporary worship music.,Stuart Townend (born 1963) is an English Christian worship leader and writer of hymns and contemporary worship music.,Stuart Townend
399,Who is Michael James Tomlinson-Mynors?,Michael James Tomlinson-Mynors (born 1 October 1977) is a British politician serving as the Member of Parliament (MP) for Mid Dorset and North Poole since 2015.,Michael James Tomlinson-Mynors (born 1 October 1977) is a British politician serving as the Member of Parliament (MP) for Mid Dorset and North Poole since 2015.,a British politician
400,Who is Sir James Douglas Wishart Thomson?,"Sir James Douglas Wishart Thomson, 2nd Baronet (30 October 1905 – 3 January 1972) was a Scottish Unionist politician.",Sir James Douglas (also known as Good Sir James and the Black Douglas) (c. 1286 – 25 August 1330) was a Scottish knight and feudal lord.,a Scottish knight and feudal lord
