,question,Actual Abstract,quest_emb,Predicted Abstract,Answer
64,When was Samuel John Everett Loxton born?,"Samuel John Everett Loxton, OBE (29 March 1921 – 3 December 2011) was an Australian cricketer, footballer and politician.","[[-0.01890067  0.04943122  0.07981118 ...  0.00048238  0.0270323
   0.04923015]]",David Ian Calder (born 1 August 1946) is an English actor.,Answer not found!
65,Name an Australian politician who served as the Liberal member for Lalor from 1966 to 1969?,Mervyn William Lee (18 August 1920 – 13 December 2009) was an Australian politician who served as the Liberal member for Lalor from 1966 to 1969.,"[[-0.02558927  0.1307657   0.11187758 ... -0.00871251  0.05498117
   0.11450905]]",Mervyn William Lee (18 August 1920 – 13 December 2009) was an Australian politician who served as the Liberal member for Lalor from 1966 to 1969.,Mervyn William Lee 
66,"Name an Australian former professional rugby league footballer, and a former Australian Senator","Glenn Patrick Lazarus (born 11 December 1965) is an Australian former professional rugby league footballer, and a former Australian Senator.","[[-0.00051785  0.10499376  0.20392327 ...  0.00614213 -0.02163683
   0.10324003]]","Glenn Patrick Lazarus (born 11 December 1965) is an Australian former professional rugby league footballer, and a former Australian Senator.",Glenn Patrick Lazarus 
67,"Who was Gilbert Roche Andrews ""Gil"" Langley?","Gilbert Roche Andrews ""Gil"" Langley  (14 September 1919 – 14 May 2001) was an Australian Test cricketer, champion Australian rules footballer and member of parliament, serving as Speaker of the South Australian House of Assembly from 1977 to 1979 for the Don Dunstan Labor government.","[[-0.01890067  0.12677333  0.07943113 ...  0.03941742  0.02236491
   0.06459228]]","Charles Smith (""C.S."")",Answer not found!
68,"When was Sir Wilfrid Selwyn ""Bill"" Kent Hughes born?","Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government.",[[0.00658448 0.13379323 0.09793637 ... 0.07561663 0.06942879 0.03874303]],"Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government.",June 1895 –
69,"Name an an Australian politician, psychologist and vegan bodybuilder?","Emma Christine Hurst (born 1981) is an Australian politician, psychologist and vegan bodybuilder.","[[-0.02874381  0.04943122  0.14889322 ... -0.01258786  0.00456539
   0.055255  ]]","Emma Christine Hurst (born 1981) is an Australian politician, psychologist and vegan bodybuilder.",Emma Christine Hurst 
70,"Who is Rendle McNeilage ""Mac"" Holten CMG?","Rendle McNeilage ""Mac"" Holten CMG (29 March 1922 – 12 October 1996) was an Australian politician and sportsman.","[[-0.01930664  0.13861895  0.08448096 ...  0.08413737 -0.03032202
   0.02587742]]","Rendle McNeilage ""Mac"" Holten CMG (29 March 1922 – 12 October 1996) was an Australian politician and sportsman.","Rendle McNeilage ""Mac"" Holten CMG (29 March 1922 – 12 October 1996) was an Australian politician and sportsman."
71,Who was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968? ,"John Merrifield Hearman CMG (10 November 1910 – 20 February 1994) was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968, representing the seat of Blackwood.","[[-0.01890067  0.08499671  0.14617547 ...  0.01184507  0.06759687
   0.12164439]]","Michael Nanovich (18 June 1931 – 20 December 2005) was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1974 to 1983, representing the seats of Toodyay and Whitford.",Answer not found!
72,When did Arthur Courthope Gull die?,"Arthur Courthope Gull (1 January 1867 – 30 March 1951) was an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908, representing the seat of Swan.","[[-0.02874381  0.08790162 -0.10247713 ... -0.01258786  0.05535141
  -0.04156346]]","Howard William Meeker, C.M.",Answer not found!
73,Name a former professional tennis player who was a grass court specialist?,"Bob Gary Giltinan OAM (born 4 July 1949 in Sydney, New South Wales, Australia) is a former professional tennis player who was a grass court specialist.","[[ 0.01666664  0.11606012  0.02994054 ...  0.07299473 -0.02444231
   0.11346698]]","Anthony E. Gonzalez (born September 18, 1984) is an American politician and former professional football player.",Answer not found!
74,Who is John Hogan 'Jack' Gervasoni? ,John Hogan 'Jack' Gervasoni  (29 September 1929 – 9 February 1992) was an Australian rules footballer who played for Fitzroy in the Victorian Football League (VFL) and captain-coached Northcote in the Victorian Football Association (VFA).,"[[-0.02042911  0.04943122  0.08442578 ...  0.00453738 -0.02598062
   0.00976715]]","Charles Smith (""C.S."")",Answer not found!
75,"Name  a Scottish advocate, judge, writer and historian who served as Professor of Universal History at the University of Edinburgh?","Alexander Fraser Tytler, Lord Woodhouselee FRSE (15 October 1747 – 5 January 1813) was a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman Antiquities at the University of Edinburgh.",[[0.01666664 0.14569789 0.093668   ... 0.07864176 0.03605708 0.09335498]],"John Robert McNeill (born 1954) is an American environmental historian, author, and professor at Georgetown University.",Answer not found!
76,"When did Thomas William ""Tom"" Fox die? ","Thomas William ""Tom"" Fox (July 7, 1951 – March 9, 2006) was an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq.","[[-0.02874381  0.04943122  0.12989874 ...  0.06612674  0.00044517
   0.04563563]]","Charles Smith (""C.S."")",Answer not found!
77,When was Patrick Francis Daniel Farmer  born?,"Patrick Francis Daniel Farmer  (born 14 March 1962), an ultra-marathon athlete, motivational speaker, and former Australian politician, was a Member of the Australian House of Representatives, representing the seat of Macarthur in south-west Sydney, New South Wales from 2001 to 2010, as a member of the Liberal Party.","[[-0.01890067  0.11589412 -0.02564064 ...  0.01186862  0.06193519
   0.05163311]]","John Paul Reynolds (born August 5, 1991) is an American actor and writer.",Answer not found!
78,When was Henry Rowland Gascoigne Dumaresq born? ,Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.,"[[-0.01890067  0.17516957  0.14140022 ...  0.01808491  0.06246688
   0.01883599]]",Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.,February 1839 –
79,Name an Australian politician who serves as a senator for Victoria?,Richard Luigi Di Natale (born 6 June 1970) is an Australian politician who serves as a senator for Victoria.,"[[-0.02874381  0.13305663  0.1805987  ... -0.01258786 -0.03819858
   0.09010608]]",Geoff Clark (born August 1952) is an Australian Aboriginal politician and activist.,Answer not found!
80,What is Sir John George Davies generally known as?,"Sir John George Davies  (17 February 1846 – 12 November 1913), generally known as (Sir) George Davies, was a Tasmanian politician, newspaper proprietor and first-class cricketer.","[[-0.02042911  0.12003128  0.02868397 ... -0.00284682  0.05360917
   0.05117181]]","William Cecil, 1st Baron Burghley also known as Lord Burghley.",Answer not found!
81,When did Percy Brereton Colquhoun die?,"Percy Brereton Colquhoun (28 September 1866 – 23 October 1936) was an Australian parliamentarian, lawyer and sportsman.","[[-0.02489645  0.16256551  0.06492093 ... -0.01258786  0.02503169
  -0.0088731 ]]",Thos.,Answer not found!
82,Name an Australian cricketer who played for Tasmania from 1971 until 1979?,Anthony John Benneworth (12 December 1950 – 10 March 2018) was an Australian cricketer who played for Tasmania from 1971 until 1979.,"[[-0.02874381  0.10955591  0.11645663 ...  0.03358869  0.04004969
   0.06584202]]",Anthony John Benneworth (12 December 1950 – 10 March 2018) was an Australian cricketer who played for Tasmania from 1971 until 1979.,Anthony John Benneworth 
83,"Who is Sir Francis ""Frank"" Joseph Edmund Beaurepaire?","Sir Francis ""Frank"" Joseph Edmund Beaurepaire (13 May 1891 – 29 May 1956) was an Australian distance freestyle swimmer from the 1900s to the 1920s, who won three silver and three bronze medals, from the 1908 Summer Olympics in London to the 1924 Summer Olympics in Paris, setting 15 world records.","[[-0.02042911  0.13940796  0.01866829 ...  0.04499303  0.07397164
   0.02819868]]","Lord John Philip Sackville (22 June 1713 – 3 December 1765) was the second son of Lionel Sackville, 1st Duke of Dorset.",Answer not found!
84,Name a Canadian lawyer and politician who served as the 17th prime minister of Canada?,"John Napier Wyndham Turner  (born June 7, 1929) is a Canadian lawyer and politician who served as the 17th prime minister of Canada from June 30 to September 17, 1984.","[[ 0.04194167  0.09114239  0.06343736 ... -0.01258786  0.03857821
   0.11007844]]","John Napier Wyndham Turner  (born June 7, 1929) is a Canadian lawyer and politician who served as the 17th prime minister of Canada from June 30 to September 17, 1984.",John Napier Wyndham Turner  
85,"When was Ravinder ""Ravi"" Kahlon born?","Ravinder ""Ravi"" Kahlon (born May 15, 1979 in Victoria, British Columbia) is a Canadian politician and field hockey player.","[[-0.01618951  0.04943122  0.14317861 ...  0.02993422 -0.0295479
   0.02350984]]","Ravinder ""Ravi"" Kahlon (born May 15, 1979 in Victoria, British Columbia) is a Canadian politician and field hockey player.","May 15, 1979"
86,"Who is Michael Patrick ""Mickey"" Hennessy?","Michael Patrick ""Mickey"" Hennessy (August 8, 1915 — March 5, 1991) was a boxer and politician in Ontario, Canada.","[[-0.02042911  0.11840181  0.04508438 ...  0.04274335  0.00038664
   0.0289306 ]]","Charles Smith (""C.S."")",Answer not found!
87,Name a former Canadian Senator for British Columbia and a champion alpine skier voted as Canada's Female Athlete of the 20th Century.,"Nancy Catherine Greene Raine  (born May 11, 1943) is a former Canadian Senator for British Columbia and a champion alpine skier voted as Canada's Female Athlete of the 20th Century.",[[0.03637379 0.17564364 0.1506029  ... 0.03657078 0.06811851 0.09719878]],"Nancy Catherine Greene Raine  (born May 11, 1943) is a former Canadian Senator for British Columbia and a champion alpine skier voted as Canada's Female Athlete of the 20th Century.",Nancy Catherine Greene Raine  
88,Name a  Canadian sportsman and a military commander who served in both World War I and II?,"Major-General Hardy Nelson Ganong CBE, VD, ED (Apr 18, 1890 - February 24, 1963) was a Canadian sportsman and a military commander who served in both World War I and II.","[[ 0.04194167  0.04943122  0.06343736 ...  0.12057912 -0.00117755
   0.09528797]]","Major-General Hardy Nelson Ganong CBE, VD, ED (Apr 18, 1890 - February 24, 1963) was a Canadian sportsman and a military commander who served in both World War I and II.",Major-General Hardy Nelson Ganong CBE
